Orthography,Klattese
a,x
aardvark,ardvark
aback,xb@k
abacus,@bxkxs
abaft,xb@ft
abalone,@bxloni
abandon,xb@nd|n
abase,xbes
abash,xb@S
abate,xbet
abatis,@bxti
abattoir,@bxtwar
abbacy,@bxsi
abbe,@be
abbess,@bxs
abbey,@bi
abbot,@bxt
abbreviate,xbriviet
abbreviation,xbrivieS|n
abdicate,@bdIket
abdication,@bdIkeS|n
abdomen,@bdxmxn
abdominal,@bdamxnL
abduct,@bd^kt
abeam,xbim
abecedarian,ebisidErixn
abed,xbEd
aberrant,@bErxnt
aberration,@bXeS|n
abet,xbEt
abeyance,xbexns
abhor,xbhor
abide,xbYd
ability,xbIl|ti
abject,@bJEkt
abjection,@bJEkS|n
abjectly,@bJEktli
abjuration,@bJxreS|n
abjure,@bJUr
ablate,@blet
ablative,@blxtIv
ablaze,xblez
able,ebL
abloom,xblum
ablution,xbluS|n
abnegate,@bnIget
abnegation,@bnIgeS|n
abnormal,@bnormL
abnormality,@bnorm@l|ti
abnormally,@bnormLi
aboard,xbord
abode,xbod
abolish,xbalIS
abolition,@bxlIS|n
abolitionist,@bxlIS|n|st
abominable,xbamxnxbL
abominate,xbamxnet
aboriginal,@bXIJ|nL
aborigine,@bXIJ|ni
aborning,xbornIG
abortion,xborS|n
abound,xbWnd
about,xbWt
above,xb^v
abracadabra,@brxkxd@brx
abrade,xbred
abrasive,xbresIv
abreast,xbrEst
abridge,xbrIJ
abroad,xbrcd
abrogate,@brxget
abrogation,@brxgeS|n
abrupt,xbr^pt
abscess,@bsEs
abscound,@bskand
absence,@bs|ns
absent,@bs|nt
absentee,@bs|nti
absentminded,@bs|ntmYnd|d
absinthe,@bsInT
absolute,@bsxlut
absolutely,@bsxlutli
absolution,@bsxluS|n
absolutism,@bsxlutIzM
absolve,xbzalv
absorb,xbsorb
abstain,xbsten
abstemious,@bstimixs
abstinence,@bst|n|ns
abstract,@bstr@kt
abstraction,@bstr@kS|n
abstracts,@bstr@kts
abstruse,xbstrus
absurd,xbsRd
abundant,xb^nd|nt
abuse,xbyuz
abut,xb^t
abuttals,xb^tLz
abysm,xbIzM
abysmal,xbIzmL
abyss,xbIs
acacia,xkeSx
academe,@k|dim
academic,@k|dEmIk
academician,@k|dxmIS|n
academicism,@k|dEmxsIzM
academy,xk@dxmi
acanthus,xk@nT|s
accede,@ksid
accelerando,aCElxrando
accelerate,@ksElXet
accent,@ksEnt
accentual,@ksEnCuL
accentuate,@ksEnCuet
accept,@ksEpt
acceptance,@ksEpt|ns
acceptation,@ksEpteS|n
access,@ksEs
accessible,@ksEs|bL
accession,aksES|n
accessory,@ksEsXi
accidence,@ks|d|ns
accident,@ks|d|nt
accidental,@ksxdEntL
acclaim,xklem
acclamation,@klxmeS|n
acclimate,@klxmet
acclimatize,xklYmxtYz
acclivity,xklIvxti
accolade,@kxled
accommodate,xkamxdet
accommodation,xkamxdeS|n
accompaniment,xk^mpxnimxnt
accomplice,xkamplxs
accomplish,xkamplIS
accord,xkord
accordance,xkordNs
accordion,xkordixn
accost,xkcst
account,xkWnt
accountant,xkWntNt
accoutre,xkutX
accredit,xkrEd|t
accretion,xkriS|n
accrue,xkru
acculturation,xk^lCXeS|n
accumulate,xkyumyUlet
accuracy,@kyXxsi
accurate,@kyX|t
accursed,xkRst
accusal,xkyuzL
accusation,@kyuzeS|n
accusative,xkyuz|tIv
accuse,xkyuz
accuser,xkyuzX
accustom,xk^stxm
ace,es
acerb,xsRb
acerbity,xsRbxti
acetanilide,@sxt@nxlYd
acetate,@sxtet
acetic,xsitIk
acetone,@sxton
acetylene,xsEtLxn
ache,ek
achieve,xCiv
achromatic,@krxm@tIk
acid,@s|d
acidic,xsIdIk
acidity,xsId|ti
acidosis,@sxdos|s
acidulous,xsIJUlxs
acknowledge,@knal|J
acme,@kmi
acne,@kni
